Channel,Counts
0,9
1,0
2,2
3,0
4,0
5,3
6,2
7,2
8,4
9,7
10,4
11,9
12,6
13,5
14,8
15,7
16,8
17,6
18,5
19,17
20,11
21,13
22,14
23,8
24,13
25,15
26,19
27,145
28,406
29,436
30,438
31,443
32,434
33,536
34,540
35,603
36,693
37,732
38,882
39,1080
40,1144
41,1453
42,1768
43,2186
44,2872
45,3592
46,4613
47,6307
48,8367
49,11222
50,14918
51,19342
52,24248
53,29165
54,34391
55,38901
56,41820
57,43785
58,42992
59,41063
60,37441
61,33225
62,28201
63,23932
64,19705
65,16262
66,13508
67,11283
68,9338
69,7679
70,6142
71,4914
72,3937
73,2935
74,2463
75,1933
76,1490
77,1196
78,1081
79,940
80,870
81,818
82,781
83,848
84,883
85,912
86,966
87,1020
88,1110
89,1159
90,1251
91,1240
92,1287
93,1438
94,1529
95,1598
96,1652
97,1704
98,1731
99,1804
100,1795
101,1794
102,1859
103,1728
104,1772
105,1652
106,1672
107,1625
108,1446
109,1488
110,1391
111,1488
112,1462
113,1517
114,1484
115,1686
116,1675
117,1688
118,1748
119,1946
120,2008
121,2025
122,2100
123,2137
124,2166
125,2143
126,2154
127,2124
128,2128
129,2112
130,2091
131,2094
132,2107
133,2140
134,2088
135,2134
136,2258
137,2249
138,2371
139,2608
140,2629
141,2824
142,3291
143,3550
144,3942
145,4389
146,4981
147,5305
148,6173
149,6623
150,7301
151,7802
152,8537
153,9222
154,9674
155,9942
156,10437
157,10506
158,10591
159,10399
160,10196
161,9646
162,9207
163,8393
164,7880
165,7035
166,6292
167,5584
168,4913
169,4310
170,3556
171,3032
172,2467
173,2148
174,1754
175,1476
176,1345
177,1102
178,915
179,814
180,729
181,703
182,610
183,603
184,513
185,521
186,511
187,478
188,537
189,497
190,507
191,496
192,486
193,528
194,538
195,541
196,516
197,527
198,532
199,576
200,552
201,594
202,568
203,607
204,591
205,664
206,622
207,663
208,721
209,720
210,660
211,805
212,840
213,839
214,920
215,963
216,960
217,1031
218,1154
219,1138
220,1045
221,1149
222,1135
223,1068
224,1096
225,1144
226,1025
227,1014
228,1047
229,1027
230,982
231,950
232,957
233,874
234,833
235,798
236,699
237,669
238,686
239,651
240,610
241,577
242,572
243,547
244,512
245,478
246,509
247,481
248,495
249,483
250,489
251,501
252,465
253,501
254,484
255,512
256,445
257,472
258,486
259,515
260,516
261,518
262,498
263,522
264,554
265,576
266,550
267,555
268,569
269,570
270,591
271,581
272,563
273,575
274,627
275,608
276,634
277,630
278,609
279,676
280,579
281,628
282,633
283,631
284,672
285,694
286,731
287,665
288,691
289,674
290,723
291,722
292,722
293,689
294,737
295,733
296,665
297,711
298,743
299,710
300,707
301,743
302,719
303,704
304,692
305,707
306,678
307,697
308,645
309,670
310,651
311,609
312,653
313,656
314,684
315,628
316,587
317,578
318,633
319,602
320,607
321,565
322,592
323,591
324,592
325,612
326,550
327,601
328,581
329,579
330,538
331,527
332,533
333,579
334,595
335,521
336,532
337,541
338,534
339,536
340,504
341,552
342,524
343,564
344,538
345,545
346,540
347,577
348,514
349,501
350,528
351,475
352,525
353,527
354,532
355,498
356,466
357,505
358,496
359,483
360,430
361,464
362,416
363,517
364,428
365,491
366,450
367,421
368,446
369,457
370,400
371,416
372,409
373,430
374,397
375,422
376,438
377,394
378,399
379,373
380,351
381,393
382,373
383,373
384,362
385,367
386,371
387,377
388,384
389,374
390,337
391,361
392,363
393,322
394,377
395,391
396,352
397,381
398,336
399,345
400,366
401,341
402,341
403,363
404,337
405,327
406,328
407,344
408,323
409,319
410,307
411,331
412,317
413,315
414,291
415,289
416,274
417,272
418,314
419,316
420,289
421,272
422,247
423,233
424,270
425,277
426,264
427,251
428,251
429,263
430,244
431,221
432,242
433,268
434,251
435,251
436,246
437,265
438,246
439,252
440,206
441,234
442,248
443,255
444,251
445,254
446,233
447,230
448,241
449,255
450,261
451,272
452,278
453,255
454,249
455,258
456,293
457,292
458,302
459,322
460,303
461,330
462,388
463,367
464,389
465,367
466,385
467,425
468,392
469,425
470,413
471,417
472,447
473,458
474,471
475,511
476,515
477,512
478,541
479,529
480,566
481,597
482,570
483,572
484,588
485,595
486,567
487,621
488,624
489,661
490,676
491,598
492,654
493,690
494,714
495,664
496,716
497,695
498,712
499,733
500,734
501,717
502,788
503,752
504,766
505,776
506,770
507,820
508,799
509,878
510,852
511,880
512,878
513,910
514,857
515,938
516,874
517,900
518,994
519,936
520,983
521,991
522,989
523,1081
524,1000
525,1019
526,1076
527,1092
528,1130
529,1104
530,1022
531,1039
532,1081
533,1023
534,1139
535,1085
536,1105
537,978
538,1056
539,1023
540,1097
541,1043
542,1055
543,970
544,971
545,895
546,963
547,923
548,909
549,879
550,847
551,850
552,829
553,775
554,768
555,765
556,789
557,733
558,672
559,679
560,680
561,623
562,615
563,628
564,647
565,625
566,611
567,534
568,661
569,628
570,613
571,650
572,689
573,700
574,635
575,716
576,713
577,730
578,773
579,754
580,822
581,838
582,903
583,948
584,984
585,1028
586,1134
587,1135
588,1174
589,1236
590,1284
591,1347
592,1368
593,1442
594,1532
595,1555
596,1591
597,1705
598,1807
599,1758
600,1825
601,1936
602,1900
603,1998
604,2018
605,2138
606,2121
607,2204
608,2138
609,2264
610,2360
611,2325
612,2315
613,2359
614,2349
615,2433
616,2511
617,2463
618,2535
619,2467
620,2474
621,2570
622,2437
623,2413
624,2481
625,2356
626,2547
627,2318
628,2393
629,2408
