Channel,Counts
0,2
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,190
28,1601
29,2132
30,2166
31,2373
32,2545
33,2745
34,2906
35,3062
36,3212
37,3317
38,3486
39,3318
40,3331
41,3107
42,2978
43,2735
44,2405
45,2131
46,1875
47,1588
48,1241
49,953
50,778
51,572
52,440
53,302
54,216
55,165
56,112
57,82
58,63
59,60
60,69
61,43
62,52
63,53
64,44
65,33
66,40
67,45
68,32
69,34
70,35
71,35
72,32
73,36
74,12
75,22
76,26
77,27
78,36
79,28
80,24
81,34
82,26
83,29
84,27
85,26
86,33
87,35
88,37
89,38
90,38
91,28
92,42
93,41
94,34
95,38
96,41
97,42
98,52
99,44
100,49
101,38
102,47
103,51
104,64
105,51
106,60
107,54
108,41
109,55
110,60
111,63
112,61
113,61
114,70
115,70
116,51
117,48
118,69
119,74
120,62
121,77
122,56
123,89
124,59
125,73
126,64
127,71
128,82
129,71
130,90
131,109
132,87
133,97
134,90
135,100
136,105
137,101
138,109
139,104
140,116
141,98
142,97
143,113
144,114
145,111
146,111
147,107
148,127
149,121
150,130
151,126
152,141
153,132
154,124
155,129
156,166
157,148
158,160
159,178
160,183
161,190
162,238
163,208
164,217
165,231
166,229
167,267
168,284
169,290
170,271
171,283
172,261
173,272
174,252
175,254
176,251
177,215
178,204
179,192
180,174
181,149
182,146
183,121
184,135
185,116
186,99
187,84
188,88
189,67
190,75
191,74
192,63
193,71
194,76
195,74
196,56
197,56
198,80
199,45
200,51
201,64
202,62
203,62
204,55
205,72
206,59
207,55
208,61
209,53
210,56
211,69
212,56
213,74
214,59
215,49
216,52
217,38
218,55
219,56
220,62
221,64
222,61
223,68
224,45
225,59
226,67
227,63
228,69
229,47
230,46
231,64
232,60
233,53
234,58
235,54
236,54
237,60
238,44
239,63
240,66
241,57
242,54
243,59
244,52
245,59
246,63
247,66
248,58
249,55
250,48
251,54
252,58
253,51
254,63
255,68
256,57
257,49
258,57
259,60
260,52
261,36
262,52
263,66
264,64
265,53
266,55
267,45
268,54
269,56
270,61
271,52
272,43
273,59
274,62
275,48
276,39
277,48
278,51
279,48
280,56
281,43
282,53
283,45
284,52
285,48
286,51
287,53
288,38
289,46
290,52
291,41
292,55
293,59
294,37
295,50
296,41
297,57
298,41
299,47
300,56
301,46
302,35
303,47
304,38
305,49
306,45
307,58
308,41
309,39
310,36
311,46
312,42
313,41
314,50
315,44
316,48
317,48
318,47
319,41
320,38
321,41
322,39
323,48
324,47
325,43
326,38
327,40
328,46
329,40
330,36
331,41
332,44
333,31
334,44
335,43
336,37
337,36
338,41
339,44
340,37
341,51
342,42
343,40
344,34
345,29
346,33
347,27
348,40
349,30
350,28
351,35
352,39
353,38
354,35
355,33
356,27
357,37
358,43
359,28
360,43
361,36
362,42
363,46
364,38
365,35
366,37
367,29
368,36
369,31
370,29
371,31
372,31
373,30
374,32
375,36
376,40
377,34
378,28
379,28
380,24
381,32
382,26
383,27
384,40
385,29
386,25
387,29
388,37
389,33
390,27
391,47
392,38
393,20
394,28
395,34
396,27
397,29
398,37
399,27
400,32
401,31
402,29
403,33
404,32
405,28
406,40
407,27
408,30
409,26
410,23
411,34
412,28
413,19
414,32
415,35
416,30
417,32
418,27
419,20
420,22
421,22
422,21
423,30
424,19
425,36
426,29
427,29
428,33
429,32
430,31
431,28
432,31
433,24
434,32
435,38
436,29
437,24
438,21
439,28
440,29
441,26
442,19
443,21
444,20
445,16
446,17
447,27
448,21
449,26
450,26
451,25
452,22
453,17
454,17
455,20
456,19
457,23
458,25
459,19
460,27
461,15
462,19
463,19
464,23
465,24
466,21
467,16
468,26
469,22
470,18
471,20
472,16
473,16
474,31
475,22
476,15
477,18
478,22
479,20
480,17
481,18
482,31
483,18
484,13
485,24
486,20
487,13
488,26
489,27
490,12
491,20
492,21
493,16
494,25
495,26
496,25
497,24
498,24
499,18
500,23
501,21
502,14
503,24
504,17
505,20
506,20
507,18
508,13
509,20
510,17
511,16
512,15
513,15
514,12
515,22
516,16
517,20
518,14
519,18
520,15
521,15
522,15
523,16
524,15
525,15
526,21
527,18
528,14
529,16
530,17
531,13
532,13
533,15
534,8
535,10
536,12
537,17
538,14
539,9
540,21
541,16
542,13
543,17
544,14
545,12
546,18
547,13
548,15
549,12
550,15
551,16
552,17
553,17
554,14
555,14
556,20
557,12
558,14
559,13
560,16
561,9
562,15
563,18
564,8
565,15
566,19
567,14
568,12
569,18
570,18
571,17
572,10
573,11
574,18
575,12
576,10
577,17
578,8
579,16
580,13
581,22
582,19
583,7
584,16
585,13
586,17
587,15
588,17
589,10
590,12
591,14
592,16
593,10
594,10
595,13
596,14
597,10
598,11
599,17
600,12
601,9
602,10
603,12
604,11
605,14
606,12
607,15
608,12
609,17
610,12
611,15
612,20
613,10
614,9
615,15
616,14
617,13
618,16
619,8
620,14
621,14
622,7
623,17
624,11
625,20
626,15
627,10
628,12
629,8
630,10
631,10
632,20
633,14
634,12
635,11
636,7
637,13
638,15
639,14
640,17
641,9
642,19
643,6
644,8
645,13
646,14
647,7
648,10
649,5
650,15
651,15
652,10
653,11
654,8
655,12
656,6
657,10
658,12
659,7
660,11
661,7
662,15
663,12
664,14
665,14
666,11
667,7
668,11
669,12
670,10
671,10
672,6
673,6
674,8
675,9
676,7
677,13
678,15
679,10
680,9
681,12
682,8
683,3
684,4
685,4
686,9
687,7
688,6
689,7
690,10
691,9
692,11
693,8
694,7
695,10
696,17
697,8
698,12
699,3
700,10
701,8
702,9
703,4
704,10
705,7
706,8
707,15
708,7
709,9
710,11
711,6
712,6
713,8
714,13
715,6
716,8
717,7
718,7
719,9
720,7
721,4
722,5
723,6
724,5
725,14
726,9
727,7
728,7
729,8
730,10
731,9
732,6
733,8
734,8
735,7
736,7
737,6
738,8
739,8
740,9
741,6
742,3
743,3
744,10
745,9
746,8
747,10
748,5
749,9
750,9
751,4
752,8
753,8
754,7
755,9
756,6
757,10
758,10
759,7
760,3
761,8
762,8
763,7
764,6
765,4
766,7
767,5
768,5
769,4
770,5
771,12
772,11
773,8
774,6
775,13
776,8
777,9
778,5
779,8
780,8
781,6
782,2
783,5
784,6
785,5
786,5
787,9
788,10
789,8
790,6
791,6
792,6
793,6
794,11
795,3
796,8
797,16
798,3
799,8
800,3
801,7
802,7
803,8
804,5
805,7
806,11
807,12
808,9
809,7
810,6
811,9
812,10
813,2
814,2
815,9
816,9
817,9
818,11
819,11
820,8
821,2
822,10
823,1
824,8
825,9
826,8
827,6
828,10
829,6
830,8
831,10
832,3
833,4
834,1
835,9
836,9
837,10
838,14
839,6
840,8
841,9
842,7
843,8
844,8
845,10
846,8
847,8
848,5
849,5
850,10
851,6
852,7
853,12
854,8
855,11
856,6
857,11
858,9
859,11
860,4
861,12
862,7
863,3
864,10
865,10
866,12
867,9
868,7
869,8
870,3
871,8
872,2
873,12
874,7
875,10
876,5
877,3
878,9
879,7
880,10
881,8
882,4
883,10
884,9
885,8
886,9
887,12
888,4
889,8
890,6
891,2
892,2
893,5
894,11
895,9
896,12
897,2
898,5
899,5
900,7
901,9
902,10
903,3
904,5
905,4
906,6
907,3
908,1
909,3
910,5
911,7
912,7
913,5
914,9
915,3
916,4
917,5
918,5
919,7
920,9
921,9
922,10
923,8
924,10
925,7
926,3
927,3
928,3
929,7
930,5
931,5
932,2
933,6
934,7
935,8
936,2
937,1
938,13
939,6
940,5
941,6
942,10
943,4
944,5
945,8
946,7
947,5
948,7
949,1
950,6
951,13
952,9
953,5
954,6
955,8
956,9
957,4
958,3
959,3
960,12
961,4
962,11
963,5
964,7
965,4
966,5
967,3
968,10
969,4
970,2
971,7
972,6
973,6
974,6
975,3
976,4
977,8
978,4
979,10
980,2
981,3
982,4
983,6
984,6
985,7
986,7
987,6
988,7
989,9
990,6
991,9
992,2
993,8
994,8
995,11
996,7
997,4
998,5
999,6
1000,6
1001,8
1002,7
1003,7
1004,5
1005,4
1006,6
1007,4
1008,2
1009,3
1010,7
1011,8
1012,1
1013,8
1014,5
1015,5
1016,6
1017,6
1018,2
1019,6
1020,10
1021,5
1022,7
1023,9
1024,6
1025,4
1026,5
1027,3
1028,7
1029,5
1030,5
1031,6
1032,8
1033,5
1034,6
1035,4
1036,11
1037,10
1038,5
1039,7
1040,4
1041,2
1042,8
1043,7
1044,9
1045,12
1046,14
1047,6
1048,6
1049,5
1050,6
1051,4
1052,13
1053,4
1054,9
1055,2
1056,16
1057,14
1058,6
1059,8
1060,8
1061,10
1062,9
1063,10
1064,5
1065,6
1066,8
1067,11
1068,9
1069,12
1070,7
1071,5
1072,7
1073,13
1074,10
1075,2
1076,5
1077,8
1078,9
1079,4
1080,2
1081,9
1082,11
1083,8
1084,7
1085,2
1086,7
1087,7
1088,8
1089,10
1090,7
1091,12
1092,6
1093,7
1094,6
1095,5
1096,2
1097,7
1098,4
1099,5
1100,8
1101,3
1102,4
1103,4
1104,2
1105,0
1106,2
1107,6
1108,3
1109,4
1110,4
1111,8
1112,5
1113,5
1114,6
1115,7
1116,7
1117,3
1118,0
1119,6
1120,9
1121,10
1122,5
1123,2
1124,6
1125,11
1126,4
1127,3
1128,6
1129,1
1130,5
1131,5
1132,5
1133,8
1134,6
1135,1
1136,3
1137,2
1138,3
1139,4
1140,6
1141,2
1142,2
1143,2
1144,4
1145,4
1146,5
1147,4
1148,4
1149,10
1150,5
1151,4
1152,9
1153,6
