Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,24
29,37
30,33
31,37
32,47
33,52
34,67
35,58
36,69
37,76
38,84
39,67
40,85
41,82
42,79
43,88
44,76
45,87
46,96
47,102
48,115
49,112
50,123
51,106
52,127
53,109
54,149
55,142
56,138
57,119
58,175
59,131
60,125
61,133
62,122
63,125
64,141
65,131
66,127
67,126
68,119
69,124
70,99
71,118
72,118
73,130
74,115
75,103
76,124
77,149
78,121
79,124
80,113
81,120
82,132
83,120
84,133
85,128
86,113
87,122
88,112
89,128
90,123
91,125
92,119
93,133
94,125
95,116
96,116
97,128
98,136
99,137
100,117
101,127
102,139
103,116
104,146
105,116
106,136
107,144
108,114
109,135
110,162
111,122
112,117
113,135
114,142
115,155
116,125
117,145
118,143
119,147
120,145
121,141
122,142
123,161
124,145
125,162
126,162
127,160
128,168
129,198
130,201
131,184
132,214
133,212
134,211
135,215
136,218
137,237
138,214
139,246
140,231
141,258
142,241
143,241
144,222
145,253
146,241
147,234
148,243
149,210
150,235
151,236
152,232
153,222
154,205
155,221
156,213
157,207
158,205
159,202
160,191
161,191
162,202
163,206
164,195
165,183
166,187
167,168
168,203
169,204
170,185
171,153
172,164
173,158
174,179
175,157
176,164
177,179
178,159
179,144
180,136
181,146
182,134
183,141
184,130
185,159
186,131
187,138
188,151
189,162
190,133
191,142
192,143
193,158
194,149
195,153
196,154
197,158
198,140
199,181
200,144
201,166
202,138
203,147
204,129
205,137
206,148
207,146
208,153
209,151
210,141
211,147
212,145
213,132
214,133
215,148
216,134
217,146
218,178
219,150
220,145
221,131
222,146
223,144
224,122
225,153
226,152
227,144
228,143
229,156
230,143
231,157
232,146
233,163
234,175
235,153
236,145
237,131
238,148
239,161
240,159
241,151
242,153
243,139
244,142
245,140
246,136
247,143
248,167
249,129
250,147
251,146
252,128
253,129
254,163
255,141
256,146
257,162
258,127
259,144
260,132
261,133
262,159
263,151
264,137
265,116
266,143
267,130
268,144
269,136
270,134
271,143
272,149
273,142
274,137
275,148
276,134
277,141
278,126
279,130
280,124
281,141
282,150
283,128
284,129
285,139
286,126
287,174
288,151
289,139
290,117
291,151
292,115
293,123
294,124
295,134
296,156
297,132
298,141
299,152
300,129
301,128
302,133
303,140
304,131
305,130
306,150
307,134
308,123
309,147
310,144
311,109
312,120
313,142
314,138
315,152
316,119
317,143
318,140
319,144
320,147
321,143
322,127
323,122
324,134
325,126
326,105
327,118
328,155
329,141
330,127
331,132
332,131
333,138
334,137
335,130
336,139
337,138
338,113
339,141
340,130
341,140
342,130
343,142
344,112
345,141
346,138
347,124
348,152
349,134
350,128
351,121
352,126
353,151
354,136
355,140
356,133
357,123
358,148
359,134
360,147
361,126
362,122
363,159
364,145
365,128
366,156
367,133
368,143
369,134
370,141
371,152
372,146
373,146
374,151
375,170
376,141
377,161
378,149
379,152
380,137
381,153
382,156
383,152
384,155
385,153
386,158
387,161
388,159
389,161
390,154
391,160
392,146
393,153
394,162
395,186
396,171
397,188
398,168
399,149
400,188
401,165
402,188
403,157
404,185
405,182
406,171
407,171
408,169
409,184
410,169
411,177
412,162
413,159
414,178
415,178
416,173
417,155
418,137
419,176
420,176
421,155
422,158
423,153
424,161
425,164
426,155
427,169
428,136
429,162
430,174
431,156
432,208
433,169
434,170
435,156
436,137
437,164
438,166
439,140
440,172
441,137
442,170
443,134
444,154
445,157
446,161
447,155
448,182
449,148
450,159
451,141
452,152
453,173
454,141
455,161
456,159
457,160
458,151
459,152
460,145
461,159
462,156
463,150
464,163
465,142
466,162
467,161
468,141
469,149
470,139
471,164
472,143
473,173
474,137
475,139
476,142
477,134
478,149
479,142
480,148
481,141
482,132
483,159
484,133
485,131
486,135
487,142
488,162
489,134
490,128
491,145
492,171
493,119
494,124
495,154
496,152
497,139
498,124
499,152
500,142
501,152
502,141
503,145
504,141
505,138
506,140
507,142
508,148
509,131
510,119
511,145
512,138
513,131
514,143
515,142
516,136
517,151
518,134
519,151
520,150
521,135
522,137
523,113
524,134
525,152
526,126
527,122
528,128
529,123
530,148
531,128
