Channel,Counts
0,1
1,0
2,1
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,0
20,1
21,0
22,1
23,2
24,0
25,0
26,1
27,200
28,417
29,343
30,298
31,334
32,343
33,303
34,360
35,342
36,352
37,434
38,428
39,465
40,514
41,535
42,568
43,671
44,711
45,824
46,1073
47,1174
48,1451
49,1771
50,2291
51,2945
52,3741
53,4487
54,5645
55,6653
56,7525
57,8474
58,8827
59,8832
60,8733
61,8034
62,7277
63,6360
64,5555
65,4760
66,4046
67,3388
68,3095
69,2593
70,2281
71,2058
72,1838
73,1640
74,1395
75,1156
76,1092
77,969
78,940
79,892
80,841
81,809
82,786
83,768
84,801
85,749
86,751
87,757
88,684
89,666
90,768
91,724
92,681
93,667
94,681
95,708
96,704
97,700
98,745
99,727
100,698
101,776
102,626
103,693
104,749
105,707
106,774
107,744
108,724
109,677
110,794
111,714
112,769
113,773
114,738
115,754
116,788
117,774
118,794
119,749
120,832
121,871
122,844
123,844
124,916
125,921
126,949
127,937
128,1058
129,1024
130,1055
131,1131
132,1108
133,1143
134,1167
135,1131
136,1210
137,1281
138,1284
139,1269
140,1254
141,1270
142,1230
143,1266
144,1300
145,1189
146,1195
147,1210
148,1191
149,1086
150,1129
151,1110
152,1054
153,1050
154,1021
155,999
156,1014
157,980
158,950
159,990
160,967
161,1005
162,940
163,939
164,915
165,937
166,952
167,885
168,916
169,898
170,845
171,832
172,793
173,805
174,833
175,798
176,792
177,756
178,750
179,739
180,768
181,760
182,733
183,740
184,776
185,786
186,709
187,784
188,690
189,740
190,721
191,747
192,720
193,751
194,744
195,733
196,763
197,791
198,692
199,738
200,719
201,714
202,712
203,720
204,733
205,714
206,715
207,734
208,768
209,716
210,733
211,758
212,709
213,773
214,739
215,768
216,739
217,765
218,761
219,736
220,787
221,754
222,724
223,758
224,730
225,717
226,700
227,752
228,712
229,694
230,721
231,737
232,766
233,746
234,737
235,740
236,702
237,749
238,775
239,714
240,734
241,773
242,704
243,757
244,761
245,717
246,759
247,748
248,782
249,754
250,732
251,671
252,729
253,680
254,714
255,744
256,699
257,748
258,739
259,759
260,731
261,691
262,716
263,733
264,703
265,734
266,721
267,763
268,723
269,781
270,721
271,738
272,675
273,732
274,688
275,736
276,714
277,754
278,748
279,683
280,731
281,755
282,682
283,674
284,716
285,658
286,711
287,682
288,723
289,727
290,671
291,730
292,738
293,718
294,713
295,729
296,747
297,717
298,741
299,737
300,696
301,705
302,702
303,712
304,734
305,748
306,719
307,726
308,738
309,746
310,703
311,706
312,740
313,715
314,756
315,775
316,773
317,751
318,760
319,784
320,812
321,757
322,818
323,798
324,788
325,803
326,861
327,827
328,859
329,795
330,948
331,839
332,887
333,805
334,895
335,858
336,917
337,911
338,918
339,901
340,913
341,864
342,936
343,956
344,962
345,897
346,973
347,944
348,909
349,906
350,974
351,930
352,895
353,992
354,949
355,962
356,951
357,963
358,929
359,965
360,960
361,927
362,897
363,914
364,915
365,945
366,880
367,918
368,923
369,914
370,920
371,889
372,942
373,888
374,916
375,832
376,902
377,881
378,921
379,925
380,913
381,915
382,969
383,869
384,901
385,826
386,918
387,867
388,913
389,916
390,867
391,874
392,866
393,872
394,833
395,902
396,899
397,878
398,841
399,891
400,857
401,890
402,863
403,939
404,856
405,854
406,839
407,828
408,808
409,865
410,877
411,812
412,836
413,864
414,825
415,809
416,871
417,844
418,821
419,794
420,855
421,822
422,847
423,850
424,852
425,871
426,810
427,790
428,858
429,811
430,821
431,815
432,835
433,824
434,758
435,765
436,765
437,801
438,831
439,847
440,847
441,825
442,817
443,800
444,710
445,823
446,778
447,799
448,715
449,731
450,823
451,767
452,811
453,781
454,721
455,729
456,747
457,771
458,764
459,730
460,784
461,745
462,731
463,738
464,750
465,792
466,705
467,774
468,740
469,749
470,753
471,706
472,745
473,741
474,728
475,735
476,764
477,726
478,741
479,716
480,732
481,728
482,734
483,773
484,755
485,700
486,756
487,765
488,697
489,680
490,695
491,673
492,741
493,711
494,698
495,726
496,665
497,739
498,718
499,665
500,703
501,695
502,629
503,700
504,717
505,662
506,717
507,670
508,706
509,694
510,697
511,660
512,697
513,697
514,669
515,640
516,687
517,645
518,672
519,654
520,668
521,688
522,651
523,654
524,665
525,690
526,665
527,657
528,662
529,654
530,656
531,655
532,628
533,693
534,634
535,651
536,610
537,651
538,661
539,676
540,654
541,635
542,660
543,668
544,681
545,654
546,650
547,645
548,650
549,653
550,665
551,654
552,618
553,669
554,672
555,630
556,634
557,674
558,607
559,624
560,640
561,628
562,643
563,658
564,634
565,639
566,663
567,629
568,570
569,582
570,654
571,597
572,658
573,619
574,608
575,621
576,623
577,558
578,597
579,573
580,613
581,606
582,623
583,612
584,579
585,594
586,605
587,572
588,616
589,605
590,610
591,642
592,611
593,600
594,607
595,631
596,615
597,632
598,653
599,619
600,570
601,581
602,632
603,557
604,601
605,627
606,628
607,640
608,615
609,664
610,623
611,625
612,595
613,588
614,601
615,652
616,599
617,552
618,560
619,588
620,612
621,592
622,561
623,595
624,638
625,580
626,633
627,633
628,612
629,617
630,603
631,602
632,603
633,589
634,602
635,631
636,619
637,597
638,609
639,604
640,562
641,613
642,583
643,634
644,618
645,597
646,602
647,596
648,641
649,583
650,561
651,587
652,612
653,599
654,574
655,549
656,603
657,601
658,563
659,611
660,544
661,587
662,574
663,610
664,606
665,595
666,601
667,594
668,586
669,598
670,592
671,562
672,580
673,606
674,595
675,602
676,575
677,581
678,578
679,622
680,568
681,616
682,614
683,594
684,599
685,628
686,567
687,582
688,601
689,608
690,556
691,618
692,636
693,624
694,616
695,578
696,598
697,579
698,554
699,606
700,570
701,615
702,637
703,551
704,614
705,580
706,626
707,595
708,617
709,587
710,571
711,634
712,604
713,592
714,605
715,581
716,604
717,620
718,604
719,581
720,647
721,591
722,616
723,615
724,638
725,639
726,625
727,572
728,630
729,591
730,627
731,649
732,622
733,587
734,628
735,583
736,637
737,603
738,627
739,617
740,626
741,614
742,600
743,611
744,664
745,622
746,597
747,585
748,614
749,584
750,608
751,634
752,587
753,596
754,557
755,628
756,619
757,609
758,586
759,570
760,615
761,558
762,550
763,588
764,565
765,547
766,544
767,554
768,559
769,524
770,534
771,548
772,532
773,533
774,526
775,596
776,495
777,527
778,484
779,513
780,488
781,426
782,486
783,456
784,465
785,448
786,420
787,428
788,417
789,414
790,458
791,380
792,371
793,389
794,379
795,410
796,335
797,357
798,357
799,342
800,363
801,356
802,333
803,321
804,313
805,309
806,280
807,276
808,293
809,301
810,268
811,246
812,265
813,261
814,260
815,225
816,242
817,233
818,267
819,248
820,248
821,252
822,227
823,212
824,232
825,256
826,208
827,221
828,210
829,179
830,195
831,216
832,220
833,190
834,160
835,167
836,200
837,179
838,196
839,185
840,193
841,159
842,174
843,185
844,175
845,169
846,159
847,173
848,149
849,144
850,149
851,166
852,143
853,139
854,150
855,156
856,139
857,154
858,141
859,142
860,140
861,152
862,124
863,134
864,129
865,104
866,144
867,128
868,142
869,121
870,128
871,126
872,106
873,110
874,126
875,111
876,93
877,124
878,100
879,94
880,112
881,126
882,111
883,112
884,123
885,110
886,120
887,97
888,102
889,85
890,99
891,106
892,82
893,91
894,76
895,107
896,93
897,90
898,111
899,78
900,90
901,101
902,88
903,93
904,86
905,81
906,100
907,87
908,74
909,96
910,94
911,85
912,91
913,96
914,87
915,89
916,90
917,89
918,85
919,105
920,87
921,93
922,81
923,99
924,106
925,95
926,81
927,86
928,80
929,85
930,74
931,93
932,87
933,99
934,86
935,97
936,79
937,85
938,81
939,86
940,92
941,90
942,106
943,106
944,80
945,98
946,112
947,103
948,99
949,103
950,97
951,76
952,92
953,89
954,96
955,104
956,100
957,109
958,105
959,112
960,103
961,114
962,101
963,111
964,117
965,150
966,106
967,142
968,139
969,132
970,144
971,160
972,157
973,167
974,164
975,158
976,179
977,166
978,191
979,194
980,211
981,221
982,215
983,255
984,239
985,252
986,279
987,289
988,328
989,360
990,326
991,312
992,394
993,405
994,433
995,422
996,480
997,504
998,495
999,568
1000,619
1001,631
1002,669
1003,716
1004,748
1005,763
1006,804
1007,834
1008,890
1009,939
1010,1048
1011,1027
1012,1133
1013,1170
1014,1238
1015,1256
1016,1294
1017,1351
1018,1451
1019,1470
1020,1588
1021,1655
1022,1731
1023,1824
1024,1790
1025,1838
1026,1973
1027,2086
1028,2118
1029,2142
1030,2186
1031,2200
1032,2329
1033,2397
1034,2472
1035,2575
1036,2622
1037,2654
1038,2739
1039,2724
1040,2802
1041,2932
1042,2877
1043,2987
1044,2994
1045,3076
1046,3146
1047,3121
1048,3246
1049,3344
1050,3188
1051,3273
1052,3249
1053,3233
1054,3239
1055,3246
1056,3230
1057,3283
1058,3213
1059,3301
1060,3322
1061,3257
1062,3176
1063,3171
1064,3057
1065,3160
1066,3112
1067,3022
1068,2986
1069,2810
1070,2919
1071,2776
1072,2761
1073,2734
1074,2798
1075,2596
1076,2569
1077,2489
1078,2459
1079,2344
1080,2273
1081,2168
1082,2123
1083,2115
1084,2040
1085,1993
1086,1918
1087,1786
1088,1727
1089,1653
1090,1576
1091,1594
1092,1456
1093,1441
1094,1364
1095,1288
1096,1176
1097,1157
1098,1164
1099,1093
1100,957
1101,946
1102,910
1103,829
1104,853
1105,748
1106,747
1107,673
1108,619
1109,653
1110,549
1111,515
1112,483
1113,444
1114,428
1115,364
1116,361
1117,335
1118,336
1119,312
1120,247
1121,270
1122,253
1123,206
1124,208
1125,199
1126,180
1127,160
1128,158
1129,146
1130,141
1131,119
1132,105
1133,118
1134,85
1135,103
1136,94
1137,88
1138,74
1139,69
1140,71
1141,62
1142,51
1143,60
1144,52
1145,47
1146,39
1147,33
1148,28
1149,38
1150,28
1151,21
1152,31
1153,41
1154,22
1155,28
1156,32
1157,23
1158,28
1159,27
1160,20
1161,22
1162,21
1163,20
1164,26
1165,23
1166,27
1167,23
1168,26
1169,23
1170,23
1171,18
1172,22
1173,20
1174,13
1175,15
1176,23
1177,17
1178,20
1179,20
1180,20
1181,14
1182,16
1183,17
1184,22
1185,10
1186,22
1187,18
1188,20
1189,10
1190,18
1191,11
1192,27
1193,12
1194,17
1195,16
1196,20
1197,16
1198,13
1199,12
