Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,8
29,7
30,17
31,10
32,11
33,21
34,12
35,6
36,14
37,18
38,22
39,20
40,33
41,20
42,16
43,19
44,26
45,25
46,25
47,25
48,31
49,43
50,56
51,62
52,55
53,51
54,69
55,90
56,69
57,78
58,67
59,75
60,90
61,74
62,68
63,73
64,51
65,48
66,43
67,47
68,58
69,28
70,37
71,41
72,39
73,28
74,33
75,32
76,40
77,33
78,51
79,41
80,37
81,40
82,42
83,37
84,34
85,39
86,31
87,37
88,36
89,37
90,41
91,41
92,36
93,44
94,36
95,33
96,32
97,47
98,42
99,47
100,49
101,50
102,46
103,45
104,70
105,48
106,62
107,57
108,45
109,62
110,53
111,49
112,56
113,73
114,47
115,65
116,61
117,48
118,61
119,55
120,59
121,66
122,70
123,64
124,60
125,81
126,92
127,73
128,80
129,92
130,85
131,88
132,101
133,89
134,91
135,86
136,93
137,90
138,98
139,91
140,98
141,115
142,101
143,120
144,104
145,113
146,117
147,93
148,127
149,115
150,102
151,100
152,116
153,103
154,109
155,81
156,118
157,110
158,93
159,100
160,115
161,115
162,95
163,70
164,103
165,101
166,95
167,85
168,83
169,85
170,86
171,75
172,98
173,61
174,73
175,68
176,83
177,88
178,86
179,95
180,69
181,72
182,75
183,93
184,90
185,73
186,77
187,77
188,76
189,76
190,66
191,61
192,70
193,62
194,70
195,67
196,69
197,78
198,61
199,65
200,75
201,58
202,84
203,98
204,56
205,79
206,65
207,72
208,78
209,67
210,80
211,72
212,70
213,64
214,71
215,77
216,61
217,59
218,58
219,72
220,69
221,76
222,73
223,60
224,81
225,72
226,61
227,65
228,77
229,70
230,61
231,69
232,66
233,63
234,69
235,77
236,61
237,63
238,63
239,65
240,76
241,78
242,71
243,67
244,67
245,52
246,66
247,67
248,72
249,77
250,50
251,76
252,65
253,57
254,70
255,59
256,69
257,56
258,57
259,71
260,60
261,75
262,55
263,72
264,61
265,55
266,65
267,71
268,52
269,56
270,59
271,47
272,64
273,70
274,67
275,57
276,74
277,49
278,71
279,63
280,54
281,57
282,54
283,61
284,46
285,62
286,71
287,68
288,43
289,70
290,74
291,56
292,67
293,57
294,67
295,50
296,49
297,56
298,49
299,52
300,59
301,41
302,61
303,60
304,43
305,57
306,59
307,55
308,44
309,53
310,47
311,56
312,61
313,55
314,54
315,47
316,60
317,58
318,45
319,48
320,53
321,49
322,51
323,53
324,54
325,50
326,50
327,44
328,57
329,48
330,51
331,42
332,40
333,49
334,46
335,59
336,64
337,56
338,43
339,58
340,44
341,52
342,52
343,53
344,53
345,54
346,35
347,51
348,53
349,41
350,50
351,51
352,54
353,63
354,46
355,43
356,59
357,55
358,38
359,42
360,55
361,57
362,60
363,44
364,37
365,47
366,48
367,53
368,48
369,51
370,53
371,55
372,48
373,53
374,29
375,37
376,49
377,56
378,45
379,56
380,44
381,56
382,56
383,57
384,50
385,56
386,53
387,43
388,44
389,40
390,44
391,35
392,42
393,42
394,43
395,37
396,60
397,34
398,46
399,42
400,43
401,49
402,45
403,42
404,36
405,47
406,38
407,49
408,39
409,45
410,49
411,47
412,32
413,32
414,38
415,38
416,40
417,41
418,43
419,36
420,32
421,46
422,37
423,32
424,38
425,43
426,37
427,28
428,35
429,28
430,40
431,38
432,45
433,37
434,27
435,40
436,23
437,38
438,39
439,27
440,31
441,37
442,38
443,33
444,31
445,37
446,28
447,32
448,35
449,24
450,36
451,35
452,52
453,37
454,29
455,36
456,40
457,36
458,29
459,30
460,29
461,43
462,24
463,28
464,24
465,31
466,26
467,28
468,35
469,38
470,26
471,39
472,27
473,26
474,33
475,23
476,33
477,38
478,28
479,29
480,30
481,28
482,32
483,34
484,36
485,31
486,34
487,29
488,21
489,36
490,31
491,35
492,32
493,40
494,26
495,36
496,36
497,26
498,26
499,34
500,27
501,41
502,33
503,27
504,21
505,26
506,37
507,22
508,31
509,29
510,29
511,27
512,24
513,36
514,23
515,37
516,27
517,28
518,28
519,33
520,26
521,24
522,26
523,31
524,27
525,24
526,19
527,36
528,26
529,17
530,28
531,38
