Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,38
29,38
30,32
31,39
32,33
33,38
34,39
35,36
36,57
37,43
38,41
39,60
40,45
41,57
42,66
43,63
44,66
45,74
46,69
47,92
48,88
49,111
50,95
51,93
52,127
53,127
54,124
55,137
56,145
57,149
58,155
59,135
60,136
61,143
62,110
63,114
64,116
65,109
66,80
67,103
68,94
69,86
70,74
71,87
72,101
73,81
74,85
75,80
76,71
77,67
78,109
79,82
80,76
81,99
82,84
83,95
84,87
85,79
86,97
87,91
88,91
89,76
90,88
91,93
92,81
93,77
94,75
95,92
96,96
97,81
98,82
99,93
100,94
101,82
102,85
103,85
104,89
105,98
106,116
107,94
108,89
109,101
110,88
111,104
112,94
113,115
114,104
115,103
116,104
117,131
118,105
119,117
120,103
121,115
122,107
123,124
124,112
125,118
126,128
127,132
128,131
129,155
130,161
131,152
132,148
133,139
134,159
135,156
136,195
137,179
138,192
139,175
140,204
141,205
142,198
143,173
144,175
145,196
146,205
147,167
148,208
149,196
150,174
151,164
152,182
153,202
154,162
155,184
156,181
157,176
158,168
159,150
160,149
161,179
162,148
163,157
164,148
165,137
166,168
167,145
168,138
169,139
170,136
171,133
172,116
173,133
174,133
175,116
176,118
177,137
178,117
179,131
180,121
181,109
182,111
183,107
184,109
185,119
186,111
187,111
188,109
189,111
190,98
191,111
192,119
193,119
194,132
195,111
196,120
197,115
198,104
199,118
200,89
201,126
202,99
203,93
204,120
205,117
206,104
207,105
208,109
209,129
210,96
211,108
212,99
213,103
214,122
215,123
216,113
217,128
218,131
219,120
220,115
221,89
222,112
223,108
224,103
225,118
226,104
227,119
228,88
229,115
230,116
231,112
232,116
233,106
234,117
235,102
236,106
237,117
238,91
239,103
240,107
241,114
242,112
243,105
244,115
245,106
246,100
247,97
248,117
249,114
250,98
251,113
252,112
253,100
254,108
255,102
256,105
257,100
258,115
259,89
260,101
261,120
262,124
263,111
264,118
265,102
266,113
267,109
268,115
269,108
270,107
271,126
272,110
273,105
274,93
275,103
276,124
277,91
278,113
279,110
280,97
281,84
282,108
283,102
284,97
285,89
286,112
287,110
288,93
289,106
290,103
291,89
292,94
293,106
294,91
295,93
296,101
297,109
298,108
299,104
300,102
301,113
302,110
303,102
304,99
305,117
306,118
307,95
308,102
309,105
310,111
311,113
312,109
313,118
314,97
315,111
316,95
317,99
318,112
319,120
320,113
321,112
322,117
323,125
324,126
325,144
326,108
327,106
328,103
329,123
330,111
331,112
332,116
333,79
334,113
335,127
336,133
337,120
338,113
339,117
340,108
341,86
342,110
343,122
344,113
345,121
346,90
347,116
348,113
349,124
350,116
351,123
352,105
353,107
354,99
355,110
356,116
357,117
358,112
359,118
360,88
361,106
362,103
363,118
364,114
365,105
366,104
367,104
368,107
369,110
370,117
371,97
372,102
373,102
374,96
375,107
376,86
377,100
378,113
379,96
380,84
381,96
382,89
383,111
384,102
385,92
386,91
387,124
388,110
389,87
390,98
391,100
392,104
393,94
394,117
395,110
396,99
397,109
398,108
399,92
400,91
401,123
402,105
403,86
404,104
405,101
406,105
407,100
408,81
409,97
410,101
411,92
412,96
413,101
414,97
415,83
416,111
417,91
418,116
419,97
420,85
421,97
422,97
423,101
424,98
425,88
426,104
427,97
428,98
429,105
430,84
431,99
432,91
433,108
434,90
435,80
436,94
437,98
438,86
439,108
440,84
441,89
442,81
443,81
444,94
445,84
446,85
447,89
448,89
449,97
450,78
451,78
452,85
453,79
454,98
455,74
456,75
457,99
458,87
459,93
460,85
461,92
462,87
463,86
464,88
465,93
466,102
467,94
468,82
469,77
470,93
471,98
472,79
473,82
474,93
475,98
476,100
477,95
478,64
479,82
480,82
481,80
482,67
483,84
484,67
485,57
486,80
487,80
488,69
489,78
490,77
491,97
492,83
493,87
494,82
495,89
496,80
497,66
498,74
499,74
500,73
501,69
502,90
503,78
504,89
505,86
506,94
507,83
508,75
509,78
510,87
511,62
512,70
513,84
514,77
515,76
516,87
517,82
518,107
519,68
520,69
521,86
522,69
523,89
524,77
525,66
526,74
527,78
528,84
529,68
530,85
531,74
